English,Turkish
How should suppliers address diversity and inclusion in their workforce?,"Tedarikçiler, iş gücünde çeşitlilik ve dahil etmeyi nasıl ele almalıdır?"
What are the expectations for suppliers regarding employee freedom of association?,Çalışanların sendika kurma özgürlüğü konusunda tedarikçilerden beklentiler nelerdir?
How should suppliers manage workplace safety for their workers?,"Tedarikçiler, çalışanları için işyeri güvenliğini nasıl yönetmelidir?"
What guidelines should suppliers follow to avoid environmental degradation?,"Tedarikçiler, çevresel bozulmayı önlemek için hangi yönergeleri takip etmelidir?"
What are the minimum standards for supplier management systems?,Tedarikçi yönetim sistemleri için asgari standartlar nelerdir?
How should suppliers integrate sustainability into their operations?,"Tedarikçiler, sürdürülebilirliği operasyonlarına nasıl entegre etmelidir?"
What actions should suppliers take to address customer complaints regarding product quality?,"Tedarikçiler, ürün kalitesiyle ilgili müşteri şikayetlerini ele almak için hangi adımları atmalıdır?"
What are the expectations regarding waste management and recycling in suppliers' facilities?,Tedarikçilerin tesislerinde atık yönetimi ve geri dönüşüm konusunda beklentiler nelerdir?
How should suppliers conduct supplier audits and inspections?,"Tedarikçiler, tedarikçi denetimleri ve incelemeleri nasıl gerçekleştirmelidir?"
What are the standards for suppliers regarding the treatment of vulnerable workers?,Savunmasız çalışanların tedavisi konusunda tedarikçiler için standartlar nelerdir?
What measures should suppliers take to ensure fair wages and benefits?,"Tedarikçiler, adil ücretler ve yan haklar sağlamak için hangi önlemleri almalıdır?"
How should suppliers ensure workers are not subjected to verbal abuse or threats?,"Tedarikçiler, çalışanların sözlü tacize veya tehditlere maruz kalmadığından nasıl emin olmalıdır?"
What are the requirements for suppliers in terms of transparency about supply chain risks?,Tedarik zinciri riskleri konusunda tedarikçilerden beklenen şeffaflık gereklilikleri nelerdir?
How should suppliers monitor and report on environmental compliance?,"Tedarikçiler, çevresel uyum konusunda nasıl izleme yapmalı ve raporlama yapmalıdır?"
What are the expectations regarding the prevention of modern slavery in the supply chain?,Tedarik zincirinde modern köleliğin önlenmesi konusunda beklentiler nelerdir?
What are the guidelines for suppliers on fair trade and sourcing?,Tedarikçiler için adil ticaret ve kaynak sağlama konusunda yönergeler nelerdir?
How should suppliers address the issue of unsafe working conditions?,"Tedarikçiler, güvensiz çalışma koşullarını nasıl ele almalıdır?"
What are the expectations for suppliers to ensure legal compliance across multiple regions?,Birden fazla bölgede yasal uyumu sağlamak için tedarikçilerden beklenenler nelerdir?
What role do supplier ethics training programs play in Apple’s Supplier Code of Conduct?,"Tedarikçi etik eğitim programları, Apple’ın Tedarikçi Davranış Kuralları’nda hangi rolü oynamaktadır?"
How should suppliers ensure that their subcontractors comply with Apple’s Supplier Code of Conduct?,"Tedarikçiler, alt yüklenicilerinin Apple’ın Tedarikçi Davranış Kuralları’na uymasını nasıl sağlamalıdır?"
"What actions should suppliers take to prevent discrimination based on gender, race, or religion?","Tedarikçiler, cinsiyet, ırk veya din temelinde ayrımcılığı önlemek için hangi adımları atmalıdır?"
What expectations does Apple have for suppliers in terms of worker dignity and respect?,"Apple, tedarikçilerden işçi onuru ve saygısı konusunda hangi beklentilere sahiptir?"
How should suppliers handle whistleblower complaints regarding unethical practices?,"Tedarikçiler, etik olmayan uygulamalara ilişkin ihbarcı şikayetlerini nasıl ele almalıdır?"
What are the minimum labor standards that suppliers must meet?,Tedarikçilerin karşılaması gereken minimum iş gücü standartları nelerdir?
How should suppliers assess and manage risks in their operations and supply chain?,"Tedarikçiler, operasyonlarında ve tedarik zincirinde riskleri nasıl değerlendirmeli ve yönetmelidir?"
What are the requirements for suppliers to ensure the humane treatment of workers?,"Tedarikçilerin, çalışanlara insancıl muamele sağlamaları için gereklilikler nelerdir?"
How should suppliers handle environmental impact and sustainability in the use of resources?,"Tedarikçiler, kaynak kullanımında çevresel etkiyi ve sürdürülebilirliği nasıl ele almalıdır?"
What expectations does Apple have for the management of labor and environmental audits?,"Apple, iş gücü ve çevresel denetimlerin yönetimi konusunda hangi beklentilere sahiptir?"
How should suppliers ensure the safety and welfare of workers in hazardous environments?,"Tedarikçiler, tehlikeli ortamlarda çalışanların güvenliğini ve refahını nasıl sağlamalıdır?"
